"theme_id","class_id","source_id","locator","source_role","coding_state","boundary_pair","residual_tag","claim_summary","paper_use"
"C1-EF-01","Organizational Subject Identity and Registry Anchors","SRC-L-EBW-04","Article 3(1),(2),(7), PDF pp. 29-30 / EN 28-29","normative_core","explicitly_framed","","","Defines the wallet, owner identification data, and owner as the identity-bearing organisational subject layer for economic operators and public sector bodies.","main_result"
"C1-EF-02","Organizational Subject Identity and Registry Anchors","SRC-L-EBW-04","Article 8(1)-(6), PDF pp. 37-38 / EN 36-37","normative_core","explicitly_framed","","","Requires owner identification data to be issued to wallet owners, tied to authentic sources, formatted as EAA/QEAA-type objects, and to contain at least official name plus relevant unique identifier.","main_result"
"C1-EF-03","Organizational Subject Identity and Registry Anchors","SRC-L-EBW-04","Article 9(1)-(4), PDF pp. 38-39 / EN 37-38","normative_core","explicitly_framed","","","Makes EUID the default identifier where available and requires a unique identifier scheme, including anti-duplication measures, for owners without EUIDs.","main_result"
"C1-EF-04","Organizational Subject Identity and Registry Anchors","SRC-L-EBW-04","Article 10(1)-(6), PDF pp. 39-40 / EN 38-39","normative_core","explicitly_framed","","","Establishes the European Digital Directory as trusted information source for wallet owners, with API and authenticated user interfaces, restricted access, and one-working-day update duties.","main_result"
"C1-IS-01","Organizational Subject Identity and Registry Anchors","SRC-L-EBW-09","Section 2.1.1, PDF pp. 10-11 / internal pp. 9-10","interpretive_core","indirectly_shaped","","","Explains why BRIS/BORIS and EUID anchors are not sufficient for the whole target population, especially public bodies, sole traders, self-employed persons, and other entities not covered by existing registers.","main_result"
"C1-IS-02","Organizational Subject Identity and Registry Anchors","SRC-L-EBW-04","Recitals 33-38, PDF pp. 21-24 / EN 20-23","normative_core","indirectly_shaped","","","Frames owner identity as a trust-and-register problem built on authentic sources, BRIS/BORIS where useful, and a Digital Directory that should not duplicate business-register information.","main_result"
"C1-DG-01","Organizational Subject Identity and Registry Anchors","SRC-L-EBW-04","Article 8(7), Article 9(4), Article 10(6), PDF pp. 38-40 / EN 37-39","normative_core","delegated","","","Delegates detailed requirements for owner identification data, unique identifiers, unique digital addresses, and Digital Directory information categories to implementing acts.","main_result"
"C1-OP-01","Organizational Subject Identity and Registry Anchors","SRC-L-EBW-09","Section 3.4, PDF p. 73 / internal p. 72","interpretive_core","open","","","Leaves the legal basis and practical verification mechanism for newly registered or broader non-company entity populations as a remaining issue, including possible phased approaches for public administrations and other groups.","limitation"
"C2-EF-01","Representation, Mandates, and Authority Scope","SRC-L-EBW-04","Article 3(18)-(19), PDF p. 30 / EN 29","normative_core","explicitly_framed","","","Defines authorised representative and mandate as authority objects separate from owner identity.","main_result"
"C2-EF-02","Representation, Mandates, and Authority Scope","SRC-L-EBW-04","Article 5(1)(j)-(k), PDF pp. 33-34 / EN 32-33","normative_core","explicitly_framed","","","Makes multi-user access, operation, relying-party request authorisation, and owner revocation of such authorisations core wallet functions.","main_result"
"C2-EF-03","Representation, Mandates, and Authority Scope","SRC-L-EBW-05","Annex point 12(1)-(3), PDF pp. 6-7 / EN 5-6","normative_core","explicitly_framed","","","Requires access-control decisions to use acting-subject attestations, formal role, mandate scope/validity/constraints, and policy context, with auditable and real-time enforcement.","main_result"
"C2-DG-01","Representation, Mandates, and Authority Scope","SRC-L-EBW-05","Annex point 12(4), PDF p. 7 / EN 6","normative_core","delegated","","","Delegates role/attribute formats, mandate/delegation interoperability, policy language, constraint enforcement, secure logging, timestamping, and auditability standards to implementing acts.","main_result"
"C2-IS-01","Representation, Mandates, and Authority Scope","SRC-L-EBW-09","Section 2.1.1, PDF pp. 11-12 / internal pp. 10-11","interpretive_core","indirectly_shaped","","","Identifies the lack of a standardised EU-wide digital mechanism for storing, exchanging, and verifying mandates and powers of attorney as a central burden and risk.","main_result"
"C2-IS-02","Representation, Mandates, and Authority Scope","SRC-L-EBW-09","Section 5.2, PDF pp. 31-32 / internal pp. 30-31","interpretive_core","indirectly_shaped","","","Interprets the EUBW as a digital PoA and mandate-management layer that should issue, revoke, track, and audit representation rights while reducing manual verification.","main_result"
"C2-OP-01","Representation, Mandates, and Authority Scope","SRC-L-EBW-09","Footnote 24, PDF p. 11 / internal p. 10","interpretive_core","open","","","States that delegation and representation also depend on statutory and legal requirements that the SWD and proposal do not address, leaving legal-authority substance outside the wallet requirement layer.","limitation"
"C3-EF-01","Credential and Attestation Object Semantics","SRC-L-EBW-04","Article 3(10)-(11),(24),(32)-(34), PDF pp. 30-31 / EN 29-30","normative_core","explicitly_framed","","","Defines EAA/QEAA objects, wallet unit attestations, attestations from authentic sources, authentic sources, and attestation schemes.","main_result"
"C3-EF-02","Credential and Attestation Object Semantics","SRC-L-EBW-04","Article 5(1)(a)-(c),(f)-(h), PDF pp. 33-34 / EN 32-33","normative_core","explicitly_framed","","","Makes issuance, request, storage, selective disclosure, presentation, cross-wallet sharing, and linked chains of attestations part of the core functional semantics.","main_result"
